source_id,source_kind,source_path,ocr_verified,plan_date,pub_date,price,zone_low,zone_high,primary_role,direction,major,tags,source,snippet
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6925,6925,6925,RESISTANCE_ONLY,support,false,defend_first|target_reference|resistance_only,narrative_sentence,"Bulls want to hold 6877 ideally (or quick trap below) and from there we see 6904, 6925, 6939, 6954 target."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6935,6935,6935,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 6935
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6939,6939,6939,SUPPORT_LEVEL,support,false,defend_first|target_reference,narrative_sentence,"Bulls want to hold 6877 ideally (or quick trap below) and from there we see 6904, 6925, 6939, 6954 target."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6944,6944,6944,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 6944
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6950,6950,6953,RESISTANCE_ONLY,resistance,true,major|resistance_only,resistances are_list,Resistances are: 6950-53 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6954,6954,6954,FAILED_BREAKDOWN_RECLAIM,support,false,target_reference|defend_first|shelf_cluster_low|direct_bid_conditional,narrative_sentence,"From there next leg targets 6876, 6893, 6923-26, then 6954."" We wasted no time on this yesterday getting to 6923-26 which was the exact high of day."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6957,6957,6957,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 6957
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6961,6961,6961,FAILED_BREAKDOWN_RECLAIM,support,false,failed_breakdown_reclaim,narrative_sentence,...y look like this: They occur when price puts in one Failed Breakdown (the 9:42AM Failed Breakdown of yesterday's 9:30AM 6961 low) and rallies nicely as we did to 6893.
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6965,6965,6965,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 6965
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6970,6970,6973,RESISTANCE_ONLY,resistance,true,major|resistance_only,resistances are_list,Resistances are: 6970-73 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6981,6981,6981,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 6981
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6986,6986,6986,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 6986
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6993,6993,6993,RESISTANCE_ONLY,resistance,true,major|resistance_only,resistances are_list,Resistances are: 6993 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6996,6996,6996,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 6996
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,7002,7002,7002,RESISTANCE_ONLY,resistance,true,major|resistance_only,resistances are_list,Resistances are: 7002 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,7007,7007,7007,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 7007
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,7011,7011,7011,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 7011
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,7017,7017,7017,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 7017
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,7022,7022,7022,RESISTANCE_ONLY,resistance,true,major|resistance_only,resistances are_list,Resistances are: 7022 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,7028,7028,7028,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 7028
